City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,northam,51.0333,-4.2167,8.67,91,31,2.96,GB,1680425288
199,caravelas,-17.7125,-39.2481,22.44,93,100,3.48,BR,1680425289
200,maumere,-8.6199,122.2111,28.46,74,100,2.52,ID,1680425290
201,maicanesti,45.5,27.5,11.22,80,100,11.3,RO,1680425290
202,whitehorse,60.7161,-135.0538,-4.57,63,100,11.83,CA,1680425292
203,zeya,53.75,127.2667,0.93,77,55,6.37,RU,1680425011
204,eenhana,-17.4667,16.3333,27.77,46,59,3.4,NA,1680425294
205,cherskiy,68.75,161.3,-32.63,100,28,2.16,RU,1680425294
206,araouane,18.9048,-3.5265,28.87,6,1,7.49,ML,1680425295
207,harnosand,62.6323,17.9379,0.0,69,3,7.49,SE,1680425296
208,kaina,12.6374,8.5873,31.28,8,41,5.94,NG,1680425296
209,bertoua,4.5833,13.6833,31.36,45,24,1.76,CM,1680425297
210,dingle,10.9995,122.6711,29.52,60,77,6.14,PH,1680425297
211,cleburne,32.3476,-97.3867,15.72,60,75,3.13,US,1680425298
212,opuwo,-18.0607,13.84,27.16,30,28,4.07,NA,1680425298
213,mezhdurechensk,53.6942,88.0603,-1.34,45,4,1.92,RU,1680425299
214,baiyin,36.5583,104.2081,5.82,56,100,5.1,CN,1680425299
215,khuzhir,53.1939,107.3397,-5.78,56,100,6.96,RU,1680425301
216,yar-sale,66.8333,70.8333,0.56,93,62,7.0,RU,1680425301
217,tomatlan,19.9333,-105.25,18.87,81,100,0.77,MX,1680425302
218,fredericia,55.5657,9.7526,5.17,66,8,9.68,DK,1680425302
219,ambanja,-13.6833,48.45,30.96,64,65,1.79,MG,1680425303
220,wanaka,-44.7,169.15,9.5,88,97,2.68,NZ,1680425160
221,nurota,40.5614,65.6886,22.95,28,77,5.32,UZ,1680425304
222,paamiut,61.994,-49.6678,-4.64,63,73,5.6,GL,1680425305
223,lagoa,39.05,-27.9833,13.89,80,50,17.04,PT,1680425306
224,rocha,-34.4833,-54.3333,10.85,89,74,1.57,UY,1680425307
225,taksimo,56.3444,114.8794,-6.0,52,100,3.83,RU,1680425308
226,taltal,-25.4,-70.4833,20.15,86,38,0.96,CL,1680425308
227,markova,48.6758,24.4138,9.0,77,100,4.89,UA,1680425309
228,alvorada,-12.48,-49.1247,21.16,96,51,1.14,BR,1680425310
229,banjar,-8.19,114.9675,27.92,76,100,1.98,ID,1680425280
230,thinadhoo,0.5333,72.9333,28.04,72,100,4.17,MV,1680425313
231,asosa,10.0667,34.5333,31.1,11,36,1.73,ET,1680425141
232,sao filipe,14.8961,-24.4956,26.43,45,0,4.89,CV,1680425176
233,kailua,21.4022,-157.7394,23.99,84,100,5.81,US,1680425118
234,pachino,36.7186,15.0907,16.05,70,16,3.93,IT,1680425021
235,mawlaik,23.6333,94.4167,32.07,32,81,3.37,MM,1680425315
236,front royal,38.9182,-78.1944,7.83,64,100,8.75,US,1680425316
237,berdigestyakh,62.0989,126.6992,-9.38,83,100,8.53,RU,1680425318
238,vostok,46.4856,135.8833,4.94,84,100,1.4,RU,1680425319
239,cluses,46.0625,6.575,9.18,89,82,0.86,FR,1680425321
240,kargil,34.5667,76.1,-0.2,61,77,1.09,IN,1680425322
241,batagay-alyta,67.8006,130.4114,-15.66,83,39,2.91,RU,1680425322
242,san felipe,10.3399,-68.7425,21.95,97,100,5.28,VE,1680425233
243,ati,13.2154,18.3353,36.37,8,54,9.21,TD,1680425323
244,mitsamiouli,-11.3847,43.2844,28.67,74,100,4.33,KM,1680425324
245,kavaratti,10.5669,72.642,27.9,67,40,4.51,IN,1680425180
246,aklavik,68.2191,-135.0107,-22.84,99,89,0.59,CA,1680425325
247,atherton,53.5237,-2.4935,9.01,76,89,4.02,GB,1680425324
248,madingou,-4.1536,13.55,25.23,84,100,2.3,CG,1680425328
